payment_id,loan_id,payment_date,payment_amount,payment_method
PAY-10001,LN-5001,2025-12-05,16500,Auto-Debit
PAY-10002,LN-5001,2026-01-05,16500,UPI
PAY-10003,LN-5001,2026-02-10,16500,UPI
PAY-10004,LN-5002,2025-12-10,28000,Auto-Debit
PAY-10005,LN-5002,2026-01-10,28000,Auto-Debit
PAY-10006,LN-5002,2026-02-10,28000,Auto-Debit
PAY-10007,LN-5003,2025-12-15,18500,NEFT
PAY-10008,LN-5003,2026-01-20,18500,UPI
PAY-10009,LN-5004,2025-11-05,11000,Auto-Debit
PAY-10010,LN-5004,2025-12-05,11000,Auto-Debit
PAY-10011,LN-5005,2026-01-01,42000,NEFT
PAY-10012,LN-5005,2026-02-03,42000,UPI
PAY-10013,LN-5006,2025-12-20,9500,Auto-Debit
PAY-10014,LN-5006,2026-01-20,9500,Auto-Debit
PAY-10015,LN-5006,2026-02-20,9500,Auto-Debit
PAY-10016,LN-5007,2025-10-10,8500,Cash
PAY-10017,LN-5007,2025-11-15,8500,UPI
PAY-10018,LN-5008,2025-12-15,26000,Auto-Debit
PAY-10019,LN-5008,2026-01-15,26000,Auto-Debit
PAY-10020,LN-5008,2026-02-15,26000,Auto-Debit
PAY-10021,LN-5009,2025-12-05,19500,NEFT
PAY-10022,LN-5009,2026-01-10,19500,UPI
PAY-10023,LN-5010,2025-11-10,24000,Auto-Debit
PAY-10024,LN-5010,2025-12-10,24000,NEFT
