loan_id,customer_id,loan_type,loan_amount,interest_rate,emi_amount,emi_due_date,outstanding_balance,days_past_due
LN-5001,CUST-1001,Personal,500000,10.5,16500,5,420000,10
LN-5002,CUST-1002,Home,3000000,8.5,28000,10,2750000,0
LN-5003,CUST-1003,Auto,800000,9.0,18500,15,650000,25
LN-5004,CUST-1004,Personal,300000,12.0,11000,5,280000,45
LN-5005,CUST-1005,Home,5000000,8.0,42000,1,4200000,5
LN-5006,CUST-1006,Education,400000,7.5,9500,20,320000,0
LN-5007,CUST-1007,Personal,200000,14.0,8500,10,195000,60
LN-5008,CUST-1008,Auto,1200000,9.5,26000,15,980000,0
LN-5009,CUST-1009,Personal,600000,11.0,19500,5,510000,15
LN-5010,CUST-1010,Home,2500000,8.5,24000,10,2300000,30
